enrollee_id,relevent_experience,experience,company_size,company_type,last_new_job
25349,Has relevent experience,>20,1000-4999,Pvt Ltd,>4
5220,Has relevent experience,>20,,,4
4789,Has relevent experience,8,50-99,Pvt Ltd,1
11338,Has relevent experience,10,<10,Pvt Ltd,1
27963,No relevent experience,4,,,1
8571,Has relevent experience,2,10/49,NGO,2
16303,Has relevent experience,6,50-99,,1
20576,Has relevent experience,>20,1000-4999,Pvt Ltd,>4
32966,Has relevent experience,3,100-500,Pvt Ltd,2
21199,Has relevent experience,7,<10,NGO,1
18819,Has relevent experience,9,<10,Pvt Ltd,4
14199,Has relevent experience,10,50-99,Funded Startup,1
7666,Has relevent experience,11,50-99,Pvt Ltd,>4
13915,Has relevent experience,>20,100-500,Pvt Ltd,2
10555,Has relevent experience,12,100-500,Pvt Ltd,2
16040,Has relevent experience,6,100-500,Pvt Ltd,1
32826,Has relevent experience,7,,,1
13253,Has relevent experience,11,10/49,Pvt Ltd,2
15637,Has relevent experience,3,100-500,Pvt Ltd,1
28074,Has relevent experience,>20,100-500,NGO,>4
23012,No relevent experience,15,50-99,Pvt Ltd,1
16110,Has relevent experience,6,50-99,Pvt Ltd,3
3921,No relevent experience,>20,1000-4999,Public Sector,>4
24530,No relevent experience,12,100-500,Pvt Ltd,>4
1924,Has relevent experience,>20,100-500,Pvt Ltd,3
32776,Has relevent experience,20,,,4
1907,No relevent experience,2,<10,NGO,never
23947,No relevent experience,,,,
3116,No relevent experience,3,,,1
24829,No relevent experience,3,10000+,Pvt Ltd,1
30488,No relevent experience,2,,,1
1265,Has relevent experience,10,<10,Funded Startup,1
22098,No relevent experience,5,,,4
13342,Has relevent experience,8,5000-9999,Pvt Ltd,2
24608,No relevent experience,9,<10,Pvt Ltd,2
20081,No relevent experience,>20,,,>4
24796,Has relevent experience,>20,5000-9999,Pvt Ltd,>4
7777,Has relevent experience,>20,,,never
22718,Has relevent experience,14,10000+,,>4
1261,Has relevent experience,12,,,2
3396,Has relevent experience,6,500-999,Pvt Ltd,never
4283,No relevent experience,4,,,never
18998,Has relevent experience,9,10/49,,4
2003,Has relevent experience,4,,,1
31786,No relevent experience,>20,50-99,Pvt Ltd,>4
8241,Has relevent experience,11,,,1
12154,Has relevent experience,>20,1000-4999,NGO,>4
23455,Has relevent experience,6,10000+,Pvt Ltd,4
19882,Has relevent experience,15,,,>4
28817,Has relevent experience,14,5000-9999,Pvt Ltd,3
4656,No relevent experience,6,,Pvt Ltd,never
7280,Has relevent experience,13,10000+,Pvt Ltd,1
16903,Has relevent experience,17,5000-9999,Pvt Ltd,1
13333,Has relevent experience,>20,,,never
26241,Has relevent experience,>20,100-500,Pvt Ltd,2
12381,No relevent experience,6,10000+,Pvt Ltd,>4
4064,Has relevent experience,18,,,1
32092,Has relevent experience,15,10000+,Pvt Ltd,>4
3766,No relevent experience,>20,500-999,Pvt Ltd,>4
30496,Has relevent experience,>20,100-500,Pvt Ltd,>4
7189,Has relevent experience,>20,<10,Pvt Ltd,1
29497,Has relevent experience,>20,10000+,Public Sector,>4
31593,Has relevent experience,10,100-500,Pvt Ltd,4
12384,Has relevent experience,>20,,,>4
11986,Has relevent experience,5,<10,Early Stage Startup,1
31033,No relevent experience,3,,,1
14835,Has relevent experience,2,100-500,NGO,1
3728,Has relevent experience,>20,5000-9999,Pvt Ltd,4
3024,Has relevent experience,>20,<10,Public Sector,1
23508,Has relevent experience,9,10/49,Pvt Ltd,1
29457,Has relevent experience,>20,<10,Funded Startup,1
12297,Has relevent experience,4,10/49,Funded Startup,1
27708,No relevent experience,5,5000-9999,,
3065,Has relevent experience,>20,100-500,Funded Startup,1
29226,No relevent experience,6,,,never
5493,Has relevent experience,>20,10/49,Pvt Ltd,>4
2891,Has relevent experience,>20,50-99,Pvt Ltd,never
32509,Has relevent experience,4,10000+,Pvt Ltd,1
31841,Has relevent experience,10,10/49,Pvt Ltd,>4
907,Has relevent experience,>20,50-99,Pvt Ltd,>4
29526,Has relevent experience,14,10/49,Pvt Ltd,>4
10956,Has relevent experience,15,50-99,Early Stage Startup,1
26099,Has relevent experience,12,10000+,Pvt Ltd,1
26163,No relevent experience,2,,,never
4120,No relevent experience,13,,,3
7335,No relevent experience,1,,,1
706,Has relevent experience,4,100-500,Funded Startup,never
9890,Has relevent experience,14,<10,Early Stage Startup,2
32683,Has relevent experience,15,50-99,Pvt Ltd,1
27104,Has relevent experience,>20,,,never
7731,Has relevent experience,13,,,never
31943,Has relevent experience,>20,100-500,Early Stage Startup,2
22899,Has relevent experience,9,100-500,Pvt Ltd,1
33339,No relevent experience,2,500-999,Public Sector,1
20866,Has relevent experience,7,10/49,Pvt Ltd,1
21634,Has relevent experience,5,10000+,Pvt Ltd,1
29529,Has relevent experience,3,100-500,Pvt Ltd,1
4478,Has relevent experience,5,50-99,Pvt Ltd,
32095,Has relevent experience,2,50-99,Early Stage Startup,1
18272,Has relevent experience,>20,,,>4
30098,Has relevent experience,>20,100-500,Pvt Ltd,>4
23825,No relevent experience,2,,,never
7672,Has relevent experience,<1,10/49,Pvt Ltd,1
5633,Has relevent experience,4,100-500,Pvt Ltd,1
30695,No relevent experience,3,,Pvt Ltd,never
5573,No relevent experience,4,,Pvt Ltd,never
24936,Has relevent experience,3,50-99,Funded Startup,1
397,Has relevent experience,5,1000-4999,Pvt Ltd,4
31602,Has relevent experience,>20,10000+,Pvt Ltd,1
5278,No relevent experience,3,,Pvt Ltd,never
16814,Has relevent experience,>20,10000+,Pvt Ltd,>4
19249,Has relevent experience,6,50-99,Pvt Ltd,1
9475,Has relevent experience,9,1000-4999,Pvt Ltd,>4
4865,No relevent experience,>20,50-99,,>4
20881,Has relevent experience,10,1000-4999,Pvt Ltd,1
21563,Has relevent experience,3,50-99,Pvt Ltd,1
25114,No relevent experience,6,10/49,Pvt Ltd,1
26002,No relevent experience,2,,,never
8528,Has relevent experience,>20,50-99,Public Sector,>4
6141,Has relevent experience,2,100-500,Pvt Ltd,2
27667,No relevent experience,5,,,never
2821,Has relevent experience,15,100-500,Pvt Ltd,2
21216,No relevent experience,5,,,1
25495,Has relevent experience,9,100-500,Funded Startup,>4
20791,No relevent experience,2,,,2
28015,Has relevent experience,13,500-999,Pvt Ltd,2
10685,Has relevent experience,9,,,>4
405,Has relevent experience,19,100-500,Pvt Ltd,4
13891,No relevent experience,3,1000-4999,Public Sector,1
33050,Has relevent experience,17,10000+,Pvt Ltd,2
399,Has relevent experience,>20,50-99,Pvt Ltd,1
8202,Has relevent experience,7,50-99,Pvt Ltd,>4
8751,Has relevent experience,6,100-500,Public Sector,1
20744,No relevent experience,3,10000+,Pvt Ltd,1
25380,Has relevent experience,13,100-500,,>4
24617,Has relevent experience,9,,,1
12509,No relevent experience,>20,50-99,Pvt Ltd,>4
25473,No relevent experience,8,,,never
13083,Has relevent experience,10,50-99,Pvt Ltd,>4
12454,Has relevent experience,4,50-99,NGO,2
3500,No relevent experience,6,50-99,Funded Startup,1
15922,Has relevent experience,9,50-99,Pvt Ltd,3
6685,Has relevent experience,15,,,>4
28838,Has relevent experience,>20,1000-4999,NGO,>4
24082,Has relevent experience,6,10/49,Pvt Ltd,1
24846,No relevent experience,7,,,never
1020,Has relevent experience,3,500-999,Pvt Ltd,1
6189,No relevent experience,2,50-99,Pvt Ltd,1
16994,Has relevent experience,3,10/49,Pvt Ltd,1
13135,Has relevent experience,14,,,1
14578,Has relevent experience,9,10/49,Pvt Ltd,1
20732,No relevent experience,>20,50-99,Pvt Ltd,>4
16496,No relevent experience,<1,,,1
16537,Has relevent experience,15,10000+,,>4
17358,Has relevent experience,11,10/49,Early Stage Startup,1
21933,Has relevent experience,12,50-99,Pvt Ltd,1
7342,Has relevent experience,11,,,3
5630,No relevent experience,2,,,never
24152,No relevent experience,3,10000+,Pvt Ltd,never
17762,No relevent experience,5,,,1
4310,Has relevent experience,14,1000-4999,Pvt Ltd,3
5142,No relevent experience,5,,,never
22319,No relevent experience,<1,,,1
30912,No relevent experience,1,,Pvt Ltd,never
20976,Has relevent experience,5,1000-4999,Public Sector,2
13150,Has relevent experience,>20,100-500,Pvt Ltd,2
12206,No relevent experience,10,100-500,Pvt Ltd,>4
9407,Has relevent experience,7,50-99,Pvt Ltd,>4
13152,Has relevent experience,13,50-99,Funded Startup,1
1069,Has relevent experience,5,10000+,Pvt Ltd,2
25418,Has relevent experience,6,,,1
22689,Has relevent experience,4,50-99,Funded Startup,4
5104,Has relevent experience,7,,,1
13994,Has relevent experience,>20,50-99,Pvt Ltd,never
27064,Has relevent experience,5,100-500,Funded Startup,2
14598,No relevent experience,9,5000-9999,Pvt Ltd,1
9571,No relevent experience,10,10/49,Early Stage Startup,1
30854,Has relevent experience,9,<10,Early Stage Startup,1
25290,Has relevent experience,<1,100-500,Pvt Ltd,1
29640,Has relevent experience,8,,,1
17519,Has relevent experience,10,10/49,Pvt Ltd,2
12111,Has relevent experience,15,,,2
6085,No relevent experience,2,,,1
27277,No relevent experience,2,1000-4999,Pvt Ltd,1
31692,Has relevent experience,>20,10000+,Pvt Ltd,1
6052,Has relevent experience,>20,<10,Pvt Ltd,>4
18161,No relevent experience,4,,,1
12934,Has relevent experience,19,500-999,Pvt Ltd,2
30400,Has relevent experience,5,10000+,Pvt Ltd,1
26419,Has relevent experience,6,1000-4999,Pvt Ltd,2
4188,Has relevent experience,20,100-500,Pvt Ltd,>4
12117,Has relevent experience,4,10/49,Pvt Ltd,1
28847,Has relevent experience,7,,,never
30472,No relevent experience,4,1000-4999,Pvt Ltd,1
32534,Has relevent experience,9,5000-9999,Pvt Ltd,1
22395,Has relevent experience,3,,Public Sector,1
4876,Has relevent experience,10,,,1
25182,No relevent experience,2,100-500,Pvt Ltd,never
26135,No relevent experience,3,,,1
7517,No relevent experience,4,,,1
2793,Has relevent experience,>20,10/49,Pvt Ltd,>4
25174,Has relevent experience,2,50-99,Pvt Ltd,1
5593,Has relevent experience,>20,,,1
14003,Has relevent experience,2,,,1
33057,Has relevent experience,>20,,,>4
30484,Has relevent experience,>20,50-99,Pvt Ltd,>4
14688,No relevent experience,11,50-99,Pvt Ltd,>4
25459,No relevent experience,3,,,never
23657,No relevent experience,4,,,never
20322,Has relevent experience,>20,100-500,Pvt Ltd,>4
22194,Has relevent experience,2,10/49,Funded Startup,1
31401,Has relevent experience,18,10000+,Pvt Ltd,2
14914,Has relevent experience,16,100-500,Pvt Ltd,4
20376,Has relevent experience,>20,,,>4
27530,Has relevent experience,18,500-999,Pvt Ltd,>4
24701,Has relevent experience,15,10000+,Pvt Ltd,>4
6790,Has relevent experience,15,,,1
10102,Has relevent experience,20,10000+,Pvt Ltd,never
10338,Has relevent experience,11,,,1
15701,Has relevent experience,10,<10,Pvt Ltd,1
21218,Has relevent experience,3,10000+,Pvt Ltd,2
1586,Has relevent experience,6,,,1
9189,Has relevent experience,6,50-99,,1
13788,No relevent experience,3,,,never
10752,Has relevent experience,9,100-500,Pvt Ltd,2
28406,Has relevent experience,14,,Pvt Ltd,1
26320,Has relevent experience,9,,,4
17460,Has relevent experience,7,10000+,Pvt Ltd,1
18657,No relevent experience,3,,,never
9384,Has relevent experience,>20,500-999,Pvt Ltd,>4
4269,Has relevent experience,14,50-99,Pvt Ltd,2
14935,Has relevent experience,11,500-999,Pvt Ltd,1
28033,No relevent experience,3,50-99,Early Stage Startup,1
1568,Has relevent experience,15,50-99,Pvt Ltd,4
15465,Has relevent experience,2,50-99,Public Sector,1
26233,Has relevent experience,2,10000+,Pvt Ltd,1
24729,Has relevent experience,9,10/49,Pvt Ltd,1
29440,Has relevent experience,4,<10,,2
32652,Has relevent experience,5,100-500,Pvt Ltd,4
28556,No relevent experience,2,,,2
12875,No relevent experience,3,,NGO,2
21078,Has relevent experience,9,50-99,Pvt Ltd,1
30331,Has relevent experience,14,5000-9999,Pvt Ltd,>4
5899,No relevent experience,3,,Pvt Ltd,never
22787,Has relevent experience,>20,,,1
27435,Has relevent experience,15,,,4
2855,No relevent experience,5,10000+,Pvt Ltd,never
18385,Has relevent experience,9,50-99,Pvt Ltd,1
27866,Has relevent experience,>20,50-99,Funded Startup,1
7328,Has relevent experience,20,,,>4
24807,Has relevent experience,6,50-99,Pvt Ltd,1
27113,Has relevent experience,11,,,>4
6008,Has relevent experience,>20,100-500,Pvt Ltd,>4
760,Has relevent experience,16,,,2
2990,Has relevent experience,>20,1000-4999,Pvt Ltd,3
28229,Has relevent experience,18,100-500,Funded Startup,>4
4162,Has relevent experience,9,5000-9999,Pvt Ltd,2
27326,Has relevent experience,7,,,1
604,No relevent experience,3,,,never
2194,Has relevent experience,5,10/49,Funded Startup,1
21564,Has relevent experience,9,50-99,Pvt Ltd,2
17432,Has relevent experience,13,50-99,Pvt Ltd,>4
13952,Has relevent experience,>20,,,>4
1988,Has relevent experience,>20,100-500,Pvt Ltd,>4
23691,No relevent experience,4,,,never
10481,No relevent experience,<1,,,never
8540,Has relevent experience,>20,1000-4999,Public Sector,>4
8806,No relevent experience,<1,,,never
15468,Has relevent experience,15,100-500,Pvt Ltd,2
32747,Has relevent experience,14,50-99,Pvt Ltd,1
1297,Has relevent experience,7,5000-9999,Pvt Ltd,4
4075,No relevent experience,4,,,1
12772,Has relevent experience,14,,,>4
22517,No relevent experience,3,1000-4999,Public Sector,1
26388,No relevent experience,5,,,4
30676,Has relevent experience,>20,100-500,Pvt Ltd,>4
18376,Has relevent experience,17,50-99,,1
10970,Has relevent experience,18,,,>4
29961,Has relevent experience,>20,50-99,Pvt Ltd,2
5136,Has relevent experience,>20,,,1
20369,Has relevent experience,7,10000+,,1
23505,Has relevent experience,17,100-500,Pvt Ltd,>4
11751,No relevent experience,6,<10,Pvt Ltd,never
12038,Has relevent experience,,,,
28590,Has relevent experience,6,50-99,Funded Startup,1
32699,Has relevent experience,18,10000+,Pvt Ltd,1
10370,Has relevent experience,16,5000-9999,NGO,2
4095,Has relevent experience,>20,100-500,Pvt Ltd,1
5340,Has relevent experience,>20,10000+,Pvt Ltd,never
9217,Has relevent experience,1,<10,Early Stage Startup,1
15294,No relevent experience,4,,,never
23901,No relevent experience,3,,,never
5673,No relevent experience,9,50-99,Pvt Ltd,3
25421,Has relevent experience,16,50-99,Funded Startup,1
20698,Has relevent experience,>20,500-999,NGO,1
41,Has relevent experience,>20,100-500,Pvt Ltd,1
23636,No relevent experience,12,,,4
9387,Has relevent experience,6,<10,Funded Startup,2
21466,Has relevent experience,8,,,1
9515,No relevent experience,2,1000-4999,Public Sector,1
20743,Has relevent experience,15,10000+,Pvt Ltd,>4
25766,No relevent experience,14,100-500,Public Sector,3
4626,No relevent experience,2,,Pvt Ltd,never
4642,Has relevent experience,9,<10,NGO,1
16178,Has relevent experience,>20,100-500,Pvt Ltd,1
1829,Has relevent experience,8,10/49,Pvt Ltd,1
2377,No relevent experience,7,500-999,NGO,never
8287,No relevent experience,1,,,1
10529,Has relevent experience,>20,<10,Pvt Ltd,1
30608,No relevent experience,4,,,1
27546,No relevent experience,1,,,never
32324,No relevent experience,>20,50-99,Pvt Ltd,>4
8442,Has relevent experience,5,,,1
8151,Has relevent experience,8,10/49,Pvt Ltd,1
15796,Has relevent experience,3,,,2
9420,Has relevent experience,>20,500-999,,never
17083,Has relevent experience,4,5000-9999,Pvt Ltd,1
16414,Has relevent experience,16,10/49,Pvt Ltd,1
32340,Has relevent experience,10,10/49,Funded Startup,1
18462,No relevent experience,8,10/49,Pvt Ltd,1
7996,Has relevent experience,9,100-500,Public Sector,2
30636,No relevent experience,1,50-99,,1
29982,Has relevent experience,6,50-99,Pvt Ltd,1
29217,Has relevent experience,>20,5000-9999,Pvt Ltd,>4
18454,No relevent experience,1,,,1
22508,No relevent experience,5,100-500,Pvt Ltd,1
25969,Has relevent experience,>20,10000+,Pvt Ltd,>4
28080,Has relevent experience,5,10/49,Early Stage Startup,1
21134,No relevent experience,4,,,2
30925,No relevent experience,2,,,1
29000,Has relevent experience,4,100-500,Pvt Ltd,2
26925,Has relevent experience,15,5000-9999,,never
7696,Has relevent experience,9,50-99,Funded Startup,1
25525,No relevent experience,4,10000+,Pvt Ltd,1
21989,Has relevent experience,19,100-500,Pvt Ltd,4
10984,Has relevent experience,2,10000+,NGO,1
26543,Has relevent experience,10,50-99,Public Sector,1
32043,Has relevent experience,10,50-99,Pvt Ltd,2
15343,Has relevent experience,>20,50-99,Public Sector,3
30967,No relevent experience,10,,,1
30191,Has relevent experience,9,,,1
13537,Has relevent experience,14,,,>4
23185,Has relevent experience,>20,10/49,Pvt Ltd,>4
1434,Has relevent experience,7,10000+,Pvt Ltd,1
9600,Has relevent experience,9,10000+,Public Sector,>4
25963,Has relevent experience,4,50-99,,1
5141,Has relevent experience,8,50-99,Pvt Ltd,>4
657,Has relevent experience,8,10/49,Funded Startup,1
29991,Has relevent experience,9,1000-4999,Pvt Ltd,1
18759,Has relevent experience,6,10000+,Pvt Ltd,1
23081,No relevent experience,5,,,
5731,Has relevent experience,7,50-99,,>4
20135,Has relevent experience,>20,500-999,Pvt Ltd,>4
18620,Has relevent experience,14,1000-4999,Pvt Ltd,never
24226,Has relevent experience,<1,50-99,Pvt Ltd,1
10092,Has relevent experience,4,100-500,Public Sector,never
1950,Has relevent experience,6,50-99,Pvt Ltd,1
7909,No relevent experience,2,,,never
11966,Has relevent experience,2,100-500,Pvt Ltd,1
10017,Has relevent experience,>20,1000-4999,Pvt Ltd,>4
28391,Has relevent experience,8,50-99,Pvt Ltd,1
361,Has relevent experience,9,,Pvt Ltd,1
20797,Has relevent experience,15,10000+,Pvt Ltd,1
25041,Has relevent experience,7,100-500,Pvt Ltd,1
18476,Has relevent experience,2,10000+,Pvt Ltd,2
26668,No relevent experience,6,10000+,,1
18586,Has relevent experience,2,10000+,Pvt Ltd,2
17783,Has relevent experience,<1,10000+,Pvt Ltd,2
13256,Has relevent experience,4,,,2
6283,Has relevent experience,10,50-99,Pvt Ltd,>4
2586,Has relevent experience,9,50-99,Pvt Ltd,1
15279,No relevent experience,1,,,never
28468,Has relevent experience,>20,10000+,Pvt Ltd,>4
17941,No relevent experience,<1,10000+,Pvt Ltd,1
23384,Has relevent experience,8,10/49,Pvt Ltd,1
4978,Has relevent experience,14,10000+,Pvt Ltd,2
28641,Has relevent experience,>20,1000-4999,Pvt Ltd,>4
28915,No relevent experience,6,,Public Sector,1
33367,Has relevent experience,>20,,,>4
14999,Has relevent experience,>20,50-99,Pvt Ltd,2
3999,Has relevent experience,>20,100-500,Public Sector,>4
9860,Has relevent experience,17,10/49,Pvt Ltd,3
31153,No relevent experience,8,,,never
26616,Has relevent experience,>20,,,2
24366,Has relevent experience,6,10000+,Pvt Ltd,4
19986,No relevent experience,4,10000+,Public Sector,1
17786,Has relevent experience,6,50-99,,1
1396,Has relevent experience,>20,10000+,Pvt Ltd,3
22954,Has relevent experience,9,100-500,Pvt Ltd,>4
14775,No relevent experience,12,,,1
1563,Has relevent experience,12,100-500,Pvt Ltd,3
29612,Has relevent experience,5,10/49,Pvt Ltd,1
23856,Has relevent experience,9,500-999,Pvt Ltd,2
30441,Has relevent experience,19,100-500,Pvt Ltd,>4
22742,Has relevent experience,9,<10,Early Stage Startup,1
30265,Has relevent experience,10,,,2
11545,Has relevent experience,7,<10,Pvt Ltd,1
2404,Has relevent experience,4,50-99,Pvt Ltd,never
7243,Has relevent experience,>20,50-99,Pvt Ltd,never
19555,Has relevent experience,8,5000-9999,Pvt Ltd,2
20486,No relevent experience,>20,,,2
17400,No relevent experience,2,,,never
22005,Has relevent experience,3,50-99,Pvt Ltd,>4
10612,Has relevent experience,8,,,1
23365,No relevent experience,<1,<10,Early Stage Startup,1
13288,Has relevent experience,3,,,1
23430,Has relevent experience,11,100-500,Pvt Ltd,>4
30404,Has relevent experience,>20,50-99,Pvt Ltd,>4
8930,Has relevent experience,9,10000+,Pvt Ltd,>4
3920,Has relevent experience,18,10000+,Pvt Ltd,4
29841,No relevent experience,<1,,,never
16289,Has relevent experience,3,50-99,,1
19889,Has relevent experience,7,10000+,Pvt Ltd,2
11780,Has relevent experience,>20,50-99,Pvt Ltd,1
8489,Has relevent experience,15,100-500,Pvt Ltd,>4
32581,No relevent experience,4,,,1
22420,Has relevent experience,9,10000+,Pvt Ltd,2
28415,Has relevent experience,14,,,1
32260,Has relevent experience,2,,,1
21603,Has relevent experience,7,50-99,Pvt Ltd,1
19702,No relevent experience,4,1000-4999,Pvt Ltd,1
17665,Has relevent experience,3,50-99,,2
19612,Has relevent experience,5,100-500,Pvt Ltd,1
18905,Has relevent experience,5,100-500,Pvt Ltd,2
824,Has relevent experience,10,500-999,Pvt Ltd,1
27275,Has relevent experience,20,,,2
14217,Has relevent experience,14,500-999,Pvt Ltd,1
13209,No relevent experience,1,,,1
9414,Has relevent experience,8,100-500,Pvt Ltd,1
33242,No relevent experience,8,<10,Early Stage Startup,1
24224,Has relevent experience,7,,Pvt Ltd,never
9684,Has relevent experience,17,<10,Early Stage Startup,1
8584,Has relevent experience,>20,100-500,Pvt Ltd,4
27003,Has relevent experience,10,50-99,Pvt Ltd,2
17840,Has relevent experience,7,50-99,Pvt Ltd,1
29723,Has relevent experience,9,50-99,Pvt Ltd,>4
33181,No relevent experience,>20,100-500,Pvt Ltd,2
29288,No relevent experience,3,500-999,Pvt Ltd,3
3004,Has relevent experience,7,<10,Pvt Ltd,1
5828,Has relevent experience,10,50-99,Pvt Ltd,4
22211,No relevent experience,5,,,never
28193,Has relevent experience,5,10/49,Public Sector,1
26291,Has relevent experience,11,1000-4999,Pvt Ltd,>4
11739,Has relevent experience,18,100-500,NGO,3
20878,Has relevent experience,14,50-99,Public Sector,>4
31156,Has relevent experience,>20,10/49,Pvt Ltd,1
21878,Has relevent experience,20,10000+,Pvt Ltd,>4
7009,Has relevent experience,13,50-99,Pvt Ltd,1
31013,Has relevent experience,17,50-99,Funded Startup,2
7145,Has relevent experience,>20,,,>4
2690,No relevent experience,>20,,,1
28829,Has relevent experience,9,100-500,Pvt Ltd,1
28477,No relevent experience,3,,,1
17107,Has relevent experience,2,<10,,1
17125,No relevent experience,2,,,never
5911,Has relevent experience,>20,100-500,Pvt Ltd,>4
24069,Has relevent experience,11,50-99,Pvt Ltd,1
20803,Has relevent experience,2,100-500,,2
3752,Has relevent experience,7,10000+,Pvt Ltd,3
32925,Has relevent experience,>20,10000+,Pvt Ltd,2
27494,Has relevent experience,14,1000-4999,Pvt Ltd,>4
19818,Has relevent experience,2,<10,Pvt Ltd,2
