Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,cluster_id,segment_label,distance_to_centroid,boundary_margin
2,3,22039,8384,34792,42,12591,4430,0,High & Diverse Spenders,3.468097614860765,0.12697142066862055
1,3,7769,1936,2177,926,73,520,1,Traditional Food Buyers,0.961650088728975,2.1678290756459053
1,3,9203,3373,2707,1286,1082,526,1,Traditional Food Buyers,1.2269870251947619,0.6830827852469039
1,3,5924,584,542,4052,283,434,1,Traditional Food Buyers,1.6016796657304073,2.467527719544017
1,3,31812,1433,1651,800,113,1440,1,Traditional Food Buyers,1.4426192525789605,1.7169548073175833
1,3,16225,1825,1765,853,170,1067,1,Traditional Food Buyers,0.9749087802185333,1.8432509718132888
1,3,1289,3328,2022,531,255,1774,1,Traditional Food Buyers,1.9543918068031882,0.5446379264189896
1,3,18840,1371,3135,3001,352,184,1,Traditional Food Buyers,1.2274920623848888,1.7362331395007768
1,3,3463,9250,2368,779,302,1627,1,Traditional Food Buyers,2.068636516633203,0.12869010489863397
1,3,622,55,137,75,7,8,1,Traditional Food Buyers,6.265348379821105,1.123740506357552
2,3,1989,10690,19460,233,11577,2153,2,Grocery & Consumer Goods,1.9134181060194404,0.4479474054780437
2,3,3830,5291,14855,317,6694,3182,0,High & Diverse Spenders,1.8745367797634511,0.14836402401096072
1,3,17773,1366,2474,3378,811,418,1,Traditional Food Buyers,1.041004152866176,1.5099287273424207
2,3,2861,6570,9618,930,4004,1682,0,High & Diverse Spenders,1.2017417132431876,0.41005758493174116
2,3,355,7704,14682,398,8077,303,2,Grocery & Consumer Goods,1.0664153939820284,2.077577564501147
2,3,1725,3651,12822,824,4424,2157,2,Grocery & Consumer Goods,1.6940894195180531,0.00940555470267257
1,3,12434,540,283,1092,3,2233,1,Traditional Food Buyers,3.3393424223284836,2.301342777419178
1,3,15177,2024,3810,2665,232,610,1,Traditional Food Buyers,0.8143774723647271,1.5123954186050845
2,3,5531,15726,26870,2367,13726,446,0,High & Diverse Spenders,1.8707773214822878,0.5614035909629402
2,3,5224,7603,8584,2540,3674,238,0,High & Diverse Spenders,1.7212717195681633,0.18547142160262675
2,3,15615,12653,19858,4425,7108,2379,0,High & Diverse Spenders,1.0849956671550267,2.1768165672848996
2,3,4822,6721,9170,993,4973,3637,0,High & Diverse Spenders,1.0681567829882532,1.2051699819187964
1,3,2926,3195,3268,405,1680,693,2,Grocery & Consumer Goods,1.4629959397101675,0.5243697736439814
1,3,5809,735,803,1393,79,429,1,Traditional Food Buyers,1.3200075517634842,2.6427979052779094
1,3,5414,717,2155,2399,69,750,1,Traditional Food Buyers,1.0759434315333811,2.456509886292504
2,3,260,8675,13430,1116,7015,323,2,Grocery & Consumer Goods,1.5010160927460559,1.524221955746001
2,3,200,25862,19816,651,8773,6250,2,Grocery & Consumer Goods,3.089755145272775,0.26518949214322607
1,3,955,5479,6536,333,2840,707,2,Grocery & Consumer Goods,0.702818090687647,1.7337859111514167
2,3,514,7677,19805,937,9836,716,2,Grocery & Consumer Goods,1.462364325600706,1.0600847682185646
1,3,286,1208,5241,2515,153,1442,1,Traditional Food Buyers,2.549780992873165,0.6146079171432457
2,3,2343,7845,11874,52,4196,1697,2,Grocery & Consumer Goods,2.049480267280984,1.069145558695447
1,3,45640,6958,6536,7368,1532,230,0,High & Diverse Spenders,2.1870410489449967,0.5127011896781255
1,3,12759,7330,4533,1752,20,2631,1,Traditional Food Buyers,2.4848008767162617,0.487294320047281
1,3,11002,7075,4945,1152,120,395,1,Traditional Food Buyers,1.7930943898040095,0.5683989526365014
1,3,3157,4888,2500,4477,273,2165,1,Traditional Food Buyers,1.7301341457762929,0.4605162357319834
1,3,12356,6036,8887,402,1382,2794,0,High & Diverse Spenders,1.451703810564935,0.9279447394745022
1,3,112151,29627,18148,16745,4948,8550,0,High & Diverse Spenders,2.8404061262730793,2.1433787337107373
1,3,694,8533,10518,443,6907,156,2,Grocery & Consumer Goods,0.9106002871791906,2.130720717002404
1,3,36847,43950,20170,36534,239,47943,0,High & Diverse Spenders,4.060220733903807,1.578037513846441
1,3,327,918,4710,74,334,11,2,Grocery & Consumer Goods,3.7065028917586975,0.9102121549820765
1,3,8170,6448,1139,2181,58,247,1,Traditional Food Buyers,1.7942529260959532,1.6233156499824652
1,3,3009,521,854,3470,949,727,1,Traditional Food Buyers,1.681502492290089,1.9862422219062268
1,3,2438,8002,9819,6269,3459,3,2,Grocery & Consumer Goods,4.137507497144704,0.6941364899810951
2,3,8040,7639,11687,2758,6839,404,0,High & Diverse Spenders,1.354520407205987,0.8130322958762148
2,3,834,11577,11522,275,4027,1856,2,Grocery & Consumer Goods,1.5359736196407328,0.9088310397216377
1,3,16936,6250,1981,7332,118,64,1,Traditional Food Buyers,2.483879023234972,1.1930914421568999
1,3,13624,295,1381,890,43,84,1,Traditional Food Buyers,2.501103355294671,2.118400591817959
1,3,5509,1461,2251,547,187,409,1,Traditional Food Buyers,1.0979829938705519,1.6176472521488419
2,3,180,3485,20292,959,5618,666,2,Grocery & Consumer Goods,1.7813925581037482,1.4098212029666308
1,3,7107,1012,2974,806,355,1142,1,Traditional Food Buyers,1.0335358001437813,1.6699889465614308
1,3,17023,5139,5230,7888,330,1755,0,High & Diverse Spenders,1.7829639381198363,0.25994844397843475
1,1,30624,7209,4897,18711,763,2876,0,High & Diverse Spenders,2.094171970073644,0.8286387883419621
2,1,2427,7097,10391,1127,4314,1468,0,High & Diverse Spenders,1.230197580168092,0.35318691762154475
1,1,11686,2154,6824,3527,592,697,1,Traditional Food Buyers,1.3741394713459791,0.41596845979145813
1,1,9670,2280,2112,520,402,347,1,Traditional Food Buyers,1.2316135123635756,1.2805709404982426
2,1,3067,13240,23127,3941,9959,731,0,High & Diverse Spenders,1.686581539597879,0.7786777072215136
2,1,4484,14399,24708,3549,14235,1681,0,High & Diverse Spenders,1.5356976931503032,1.2829547984699619
1,1,25203,11487,9490,5065,284,6854,0,High & Diverse Spenders,1.8865097218193325,1.3052014468806115
1,1,583,685,2216,469,954,18,2,Grocery & Consumer Goods,3.344056544480951,0.22991093033423526
1,1,1956,891,5226,1383,5,1328,1,Traditional Food Buyers,2.6686414567955388,1.7013214665758105
2,1,1107,11711,23596,955,9265,710,2,Grocery & Consumer Goods,1.563032508081738,0.6036197404081978
1,1,6373,780,950,878,288,285,1,Traditional Food Buyers,1.2610872137818434,2.1473091594209457
2,1,2541,4737,6089,2946,5316,120,2,Grocery & Consumer Goods,1.9853298643110695,0.5268264296232013
1,1,1537,3748,5838,1859,3381,806,2,Grocery & Consumer Goods,1.5958128078030354,0.17444766540021428
2,1,5550,12729,16767,864,12420,797,0,High & Diverse Spenders,1.54001499131015,0.3516697222298977
1,1,18567,1895,1393,1801,244,2100,1,Traditional Food Buyers,1.187727487706561,1.5073443669965647
2,1,12119,28326,39694,4736,19410,2870,0,High & Diverse Spenders,2.1318697495067154,1.6757600412284135
1,1,7291,1012,2062,1291,240,1775,1,Traditional Food Buyers,0.97926117021455,1.8768372709150414
1,1,3317,6602,6861,1329,3961,1215,0,High & Diverse Spenders,1.104386197624465,0.5583412166384432
2,1,2362,6551,11364,913,5957,791,2,Grocery & Consumer Goods,1.195471602233329,0.3348085631016984
1,1,2806,10765,15538,1374,5828,2388,0,High & Diverse Spenders,1.210623850509787,0.9157674348258511
2,1,2532,16599,36486,179,13308,674,2,Grocery & Consumer Goods,2.0030653512207874,0.8409931832760371
1,1,18044,1475,2046,2532,130,1158,1,Traditional Food Buyers,0.8607733070974233,1.9842156450458386
2,1,18,7504,15205,1285,4797,6372,2,Grocery & Consumer Goods,3.775914692707061,0.722655980324209
1,1,4155,367,1390,2306,86,130,1,Traditional Food Buyers,1.9528575965501136,2.2125325684861212
1,1,14755,899,1382,1765,56,749,1,Traditional Food Buyers,1.1375803859384486,2.498027063260013
1,1,5396,7503,10646,91,4167,239,2,Grocery & Consumer Goods,1.5531898423582808,1.458806965375753
1,1,5041,1115,2856,7496,256,375,1,Traditional Food Buyers,1.2240722588847306,1.8554191753714937
2,1,2790,2527,5265,5612,788,1360,1,Traditional Food Buyers,1.738170847462803,0.16051055567786898
1,1,7274,659,1499,784,70,659,1,Traditional Food Buyers,1.3162245430349138,2.431138019803532
1,1,12680,3243,4157,660,761,786,1,Traditional Food Buyers,1.5006708828762627,0.3287487573022354
2,1,20782,5921,9212,1759,2568,1553,0,High & Diverse Spenders,0.5674428319900113,1.9520912424978722
1,1,4042,2204,1563,2286,263,689,1,Traditional Food Buyers,0.6330547866644318,2.088925788360575
1,1,1869,577,572,950,4762,203,1,Traditional Food Buyers,2.6575239072238106,0.7779107467488324
1,1,8656,2746,2501,6845,694,980,1,Traditional Food Buyers,1.3365371470681426,0.7636370600288542
2,1,11072,5989,5615,8321,955,2137,0,High & Diverse Spenders,1.3648884206072545,0.9538064408434943
1,1,2344,10678,3828,1439,1566,490,2,Grocery & Consumer Goods,1.674992493387077,0.16771898900193816
1,1,25962,1780,3838,638,284,834,1,Traditional Food Buyers,1.3703267606854739,1.1221752775754246
1,1,964,4984,3316,937,409,7,2,Grocery & Consumer Goods,3.3642687792064283,0.5224585656442522
1,1,15603,2703,3833,4260,325,2563,1,Traditional Food Buyers,1.5747794201753371,0.36781110780312143
1,1,1838,6380,2824,1218,1216,295,2,Grocery & Consumer Goods,1.6268251136646104,0.41775259570760825
1,1,8635,820,3047,2312,415,225,1,Traditional Food Buyers,1.0792482465033821,2.040550606895943
1,1,18692,3838,593,4634,28,1215,1,Traditional Food Buyers,2.134305121035204,1.7210407364977285
1,1,7363,475,585,1112,72,216,1,Traditional Food Buyers,1.925894402913156,2.442357346937687
1,1,47493,2567,3779,5243,828,2253,0,High & Diverse Spenders,1.9706053795531424,0.07014520058000318
1,1,22096,3575,7041,11422,343,2564,0,High & Diverse Spenders,2.020630456059699,0.339205395583853
1,1,24929,1801,2475,2216,412,1047,1,Traditional Food Buyers,0.9731392072362264,1.34305107452317
1,1,18226,659,2914,3752,586,578,1,Traditional Food Buyers,1.241505420443386,1.703076004400486
1,1,11210,3576,5119,561,1682,2398,0,High & Diverse Spenders,1.497709434157283,0.6898866624768516
1,1,6202,7775,10817,1183,3143,1970,0,High & Diverse Spenders,0.6461533153570134,1.4167949211304824
2,1,3062,6154,13916,230,8933,2784,2,Grocery & Consumer Goods,1.936370290029446,0.20679402595327412
1,1,8885,2428,1777,1777,430,610,1,Traditional Food Buyers,0.5614871009848613,1.8524366971204085
1,1,13569,346,489,2077,44,659,1,Traditional Food Buyers,2.14341037857065,2.6141078471443113
1,1,15671,5279,2406,559,562,572,1,Traditional Food Buyers,1.6677364103625074,0.5356792525501806
1,1,8040,3795,2070,6340,918,291,1,Traditional Food Buyers,1.5633720589747322,0.8675417653370114
1,1,3191,1993,1799,1730,234,710,1,Traditional Food Buyers,0.6976698783720726,2.0712527528079203
2,1,6134,23133,33586,6746,18594,5121,0,High & Diverse Spenders,2.193690708105016,1.7003583927903625
1,1,6623,1860,4740,7683,205,1693,1,Traditional Food Buyers,1.5599222654314178,0.8410687463084632
1,1,29526,7961,16966,432,363,1391,0,High & Diverse Spenders,1.9193829502292166,0.9485115833092468
1,1,10379,17972,4748,4686,1547,3265,0,High & Diverse Spenders,1.303340580112499,1.728331646632946
1,1,31614,489,1495,3242,111,615,1,Traditional Food Buyers,1.5521713294939556,2.279936031097064
1,1,11092,5008,5249,453,392,373,1,Traditional Food Buyers,1.8915555337641918,0.18980853714456147
1,1,8475,1931,1883,5004,3593,987,1,Traditional Food Buyers,1.7814920715556493,0.4314802093173802
1,1,56083,4563,2124,6422,730,3321,0,High & Diverse Spenders,2.238091456368762,0.16727477006479008
1,1,53205,4959,7336,3012,967,818,0,High & Diverse Spenders,1.5080713015783838,0.7407399724805979
1,1,9193,4885,2157,327,780,548,1,Traditional Food Buyers,1.9026005428204988,0.2786850031409269
1,1,7858,1110,1094,6818,49,287,1,Traditional Food Buyers,1.5817776029802006,2.423027092533027
1,1,23257,1372,1677,982,429,655,1,Traditional Food Buyers,0.9869454581453708,1.829922142117713
1,1,2153,1115,6684,4324,2894,411,1,Traditional Food Buyers,2.1463710208459714,0.3792454283251394
2,1,1073,9679,15445,61,5980,1265,2,Grocery & Consumer Goods,1.8676718221181188,1.423450762227448
1,1,5909,23527,13699,10155,830,3636,0,High & Diverse Spenders,1.8434331931198127,1.8397926254777
2,1,572,9763,22182,2221,4882,2563,0,High & Diverse Spenders,2.189806069073429,0.1894727878271718
1,1,20893,1222,2576,3975,737,3628,1,Traditional Food Buyers,1.7770189875073956,0.6476709525921611
2,1,11908,8053,19847,1069,6374,698,0,High & Diverse Spenders,1.224628182960239,0.8611954620898361
1,1,15218,258,1138,2516,333,204,1,Traditional Food Buyers,1.9743071485096086,2.354092291147926
